Homework ID,Student ID,Question ID,TA_comments
Homework1,student_10,1_5-2,
Homework1,student_10,1_5-3,[U] (-0.01 pts)
Homework1,student_10,2_4-6,[C] (-0.02 pts)
Homework1,student_10,2_4-7,
Homework1,student_10,2_5-1,
Homework1,student_10,2_5-2,
Homework1,student_10,3_2-1,[U] (-0.005 pts)
Homework1,student_10,3_2-2,
Homework1,student_10,3_2-6,
Homework1,student_10,3_4-4,
Homework1,student_10,3_6-1,
Homework1,student_10,3_6-3,
Homework1,student_11,1_5-2,[U] (-0.01 pts)
Homework1,student_11,1_5-3,[U] (-0.01 pts)
Homework1,student_11,2_4-6,"[C, M] (-0.01, -0.02 pts)"
Homework1,student_11,2_4-7,[M] (-0.03 pts)
Homework1,student_11,2_5-1,
Homework1,student_11,2_5-2,
Homework1,student_11,3_2-2,[E] (-0.005 pts)
Homework1,student_11,3_2-6,
Homework1,student_11,3_4-4,
Homework1,student_11,3_6-1,
Homework1,student_11,3_6-3,
Homework1,student_14,1_5-2,
Homework1,student_14,1_5-3,
Homework1,student_14,2_4-6,[C] (-0.02 pts)
Homework1,student_14,2_4-7,[C] (-0.03 pts)
Homework1,student_14,2_5-1,
Homework1,student_14,2_5-2,
Homework1,student_14,3_2-1,"[E, M] (-0.03, -0.02 pts)"
Homework1,student_14,3_2-2,[M] (-0.02 pts)
Homework1,student_14,3_2-6,
Homework1,student_14,3_4-4,
Homework1,student_14,3_6-1,[NC] (-0.02 pts)
Homework1,student_14,3_6-3,
Homework1,student_19,1_5-2,
Homework1,student_19,1_5-3,
Homework1,student_19,2_4-6,
Homework1,student_19,2_4-7,
Homework1,student_19,2_5-1,
Homework1,student_19,2_5-2,
Homework1,student_19,3_2-1,
Homework1,student_19,3_2-2,
Homework1,student_19,3_2-6,[U] (-0.01 pts)
Homework1,student_19,3_4-4,
Homework1,student_19,3_6-1,
Homework1,student_19,3_6-3,"[C, E, M, NC] (-0.04, -0.065, -0.065, -0.02 pts)"
Homework1,student_20,1_5-2,[U] (-0.01 pts)
Homework1,student_20,1_5-3,
Homework1,student_20,2_4-6,
Homework1,student_20,2_4-7,
Homework1,student_20,2_5-1,
Homework1,student_20,2_5-2,
Homework1,student_20,3_2-1,[C] (-0.02 pts)
Homework1,student_20,3_2-2,
Homework1,student_20,3_2-6,
Homework1,student_20,3_4-4,
Homework1,student_20,3_6-1,
Homework1,student_20,3_6-3,[C] (-0.01 pts)
Homework1,student_22,1_5-2,
Homework1,student_22,1_5-3,"[E, M, U] (-0.01, -0.01, -0.01 pts)"
Homework1,student_22,2_4-6,[C] (-0.02 pts)
Homework1,student_22,2_4-7,
Homework1,student_22,2_5-1,
Homework1,student_22,2_5-2,
Homework1,student_22,3_2-1,
Homework1,student_22,3_2-6,
Homework1,student_22,3_4-4,
Homework1,student_22,3_6-1,"[C, E] (-0.02, -0.02 pts)"
Homework1,student_23,1_5-2,
Homework1,student_23,1_5-3,
Homework1,student_23,2_4-7,
Homework1,student_23,2_5-1,
Homework1,student_23,3_2-2,
Homework1,student_23,3_2-6,
Homework1,student_23,3_4-4,"[C, E] (-0.02, -0.02 pts)"
Homework1,student_23,3_6-1,[U] (-0.005 pts)
Homework1,student_23,3_6-3,"[E, M, NC] (-0.06, -0.02 -0.01 pts)"
Homework1,student_30,1_5-2,[U] (-0.01 pts)
Homework1,student_30,1_5-3,
Homework1,student_30,2_4-6,
Homework1,student_30,2_4-7,
Homework1,student_30,2_5-1,[NC] (-0.01 pts)
Homework1,student_30,2_5-2,
Homework1,student_30,3_2-1,"[C, NC] (-0.02, -0.05 pts)"
Homework1,student_30,3_2-2,
Homework1,student_30,3_2-6,
Homework1,student_30,3_4-4,
Homework1,student_30,3_6-1,[E] (-0.01 pts)
Homework1,student_30,3_6-3,
Homework1,student_31,1_5-2,
Homework1,student_31,1_5-3,
Homework1,student_31,2_4-6,
Homework1,student_31,2_4-7,
Homework1,student_31,2_5-1,[NC] (-0.02 pts)
Homework1,student_31,2_5-2,
Homework1,student_31,3_2-1,
Homework1,student_31,3_2-2,
Homework1,student_31,3_2-6,
Homework1,student_31,3_4-4,
Homework1,student_31,3_6-1,
Homework1,student_31,3_6-3,"[E, M, NC] (-0.02, -0.02, -0.01 pts)"
Homework1,student_33,1_5-2,
Homework1,student_33,1_5-3,[U] (-0.01 pts)
Homework1,student_33,2_4-6,[C] (-0.02 pts)
Homework1,student_33,2_4-7,
Homework1,student_33,2_5-1,
Homework1,student_33,2_5-2,
Homework1,student_33,3_2-1,
Homework1,student_33,3_2-2,
Homework1,student_33,3_2-6,
Homework1,student_33,3_4-4,
Homework1,student_33,3_6-1,
Homework1,student_33,3_6-3,"[E, M, NC] (-0.02, -0.02, -0.01 pts)"
Homework1,student_34,1_5-2,
Homework1,student_34,1_5-3,
Homework1,student_34,2_4-6,
Homework1,student_34,2_4-7,
Homework1,student_34,2_5-1,
Homework1,student_34,2_5-2,
Homework1,student_34,3_2-1,
Homework1,student_34,3_2-2,
Homework1,student_34,3_2-6,
Homework1,student_34,3_4-4,
Homework1,student_34,3_6-1,
Homework1,student_34,3_6-3,
Homework1,student_43,1_5-2,[U] (-0.01 pts)
Homework1,student_43,1_5-3,"[E, U] (-0.01, -0.01 pts)"
Homework1,student_43,2_4-6,[C] (-0.05 pts)
Homework1,student_43,2_4-7,[C] (-0.01 pts)
Homework1,student_43,2_5-1,[U] (-0.005 pts)
Homework1,student_43,2_5-2,[NC] (-0.1 pts)
